日期-时间,环境:工地室外空气干球温度[C](小时),热区:第102空间:区平均气温[C](每小时),热区:空间102:区域空气相对湿度[%](小时),热区:空间102:区空气CO2浓度[ppm](小时),人:区域热舒适Fanger模型PMV[](小时),人群:区域热舒适Fanger模型PPD[%](小时),DOAS供电风机:风机电能[Kwh](小时),VRF热泵：VRF热泵冷却电能[Kwh](小时),VRF热泵：VRF热泵加热电能[Kwh](小时),,,
 01/09  01:00:00,5.1375,14.77830722,50.06729695,411.0477661,-0.539196042,11.08707884,0,0,0,,,
 01/09  02:00:00,5.0375,14.62607784,50.04577907,410.907386,-0.570461332,11.81797755,0,0,0,,,
 01/09  03:00:00,4.875,14.49055363,49.70938032,410.8574994,-0.596079127,12.45020583,0,0,0,,,
 01/09  04:00:00,4.55,14.32968488,49.01483005,410.8397678,-0.624245435,13.1784364,0,0,0,,,
 01/09  05:00:00,4.0875,14.1412647,47.91641748,410.8334662,-0.656655314,14.05896331,0,0,0,,,
 01/09  06:00:00,3.5875,13.94057595,46.5568105,410.8312286,-0.692391774,15.08240727,0,0,0,,,
 01/09  07:00:00,3.15,13.75056621,45.14812345,410.830435,-0.72825082,16.16425437,0,0,0,,,
 01/09  08:00:00,2.9375,19.47686493,30.50053017,410.8301531,-1.310614914,41.47215616,0.038361864,0,3.049078113,,,
 01/09  09:00:00,4.525,21.30013542,27.32547885,410.8300441,-0.976107675,25.12971583,0.038361864,0,3.056994187,,,
 01/09  10:00:00,7.0625,21.99980244,33.14086684,608.3569364,-0.845595452,20.09721823,0.038361864,0,1.985919029,,,
 01/09  11:00:00,8.6875,22.00031594,38.71114125,706.5448067,-0.793636933,18.27930256,0.038361864,0,1.758443232,,,
 01/09  12:00:00,9.1625,22.00068097,41.27785644,723.6403337,-0.768057505,17.42888534,0.038361864,0,1.625703704,,,
 01/09  13:00:00,8.8875,22.00089877,40.84103805,681.3393568,-0.761236594,17.20661072,0.038361864,0,1.815720957,,,
 01/09  14:00:00,8.325,22.00089874,39.73804771,666.7885581,-0.76427234,17.30502829,0.038361864,0,1.846857898,,,
